idx_a,idx_b,name_a,name_b,desc_a,desc_b,raw_matches,tentative_matches,ratio_kept_percent,grid_filtered
0,1,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_04681.png,1860,1843,49,49,100.00,False
0,2,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_04709.png,1860,1876,36,36,100.00,False
0,3,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_04752.png,1860,1589,9,9,100.00,False
0,4,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_10305.png,1860,1828,16,16,100.00,False
0,5,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_10404.png,1860,1810,8,8,100.00,False
0,6,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_10474.png,1860,1619,13,13,100.00,False
0,7,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_10671.png,1860,1612,17,17,100.00,False
0,8,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_12035.png,1860,1712,14,14,100.00,False
1,2,2026-02-15_16-25-03_04681.png,2026-02-15_16-25-03_04709.png,1843,1876,186,186,100.00,False
1,3,2026-02-15_16-25-03_04681.png,2026-02-15_16-25-03_04752.png,1843,1589,68,68,100.00,False
1,4,2026-02-15_16-25-03_04681.png,2026-02-15_16-25-03_10305.png,1843,1828,40,40,100.00,False
1,5,2026-02-15_16-25-03_04681.png,2026-02-15_16-25-03_10404.png,1843,1810,74,74,100.00,False
1,6,2026-02-15_16-25-03_04681.png,2026-02-15_16-25-03_10474.png,1843,1619,87,87,100.00,False
1,7,2026-02-15_16-25-03_04681.png,2026-02-15_16-25-03_10671.png,1843,1612,10,10,100.00,False
1,8,2026-02-15_16-25-03_04681.png,2026-02-15_16-25-03_12035.png,1843,1712,14,14,100.00,False
2,3,2026-02-15_16-25-03_04709.png,2026-02-15_16-25-03_04752.png,1876,1589,127,127,100.00,False
2,4,2026-02-15_16-25-03_04709.png,2026-02-15_16-25-03_10305.png,1876,1828,83,83,100.00,False
2,5,2026-02-15_16-25-03_04709.png,2026-02-15_16-25-03_10404.png,1876,1810,101,101,100.00,False
2,6,2026-02-15_16-25-03_04709.png,2026-02-15_16-25-03_10474.png,1876,1619,207,207,100.00,False
2,7,2026-02-15_16-25-03_04709.png,2026-02-15_16-25-03_10671.png,1876,1612,122,122,100.00,False
2,8,2026-02-15_16-25-03_04709.png,2026-02-15_16-25-03_12035.png,1876,1712,94,94,100.00,False
3,4,2026-02-15_16-25-03_04752.png,2026-02-15_16-25-03_10305.png,1589,1828,17,17,100.00,False
3,5,2026-02-15_16-25-03_04752.png,2026-02-15_16-25-03_10404.png,1589,1810,17,17,100.00,False
3,6,2026-02-15_16-25-03_04752.png,2026-02-15_16-25-03_10474.png,1589,1619,90,90,100.00,False
3,7,2026-02-15_16-25-03_04752.png,2026-02-15_16-25-03_10671.png,1589,1612,139,139,100.00,False
3,8,2026-02-15_16-25-03_04752.png,2026-02-15_16-25-03_12035.png,1589,1712,305,305,100.00,False
4,5,2026-02-15_16-25-03_10305.png,2026-02-15_16-25-03_10404.png,1828,1810,286,286,100.00,False
4,6,2026-02-15_16-25-03_10305.png,2026-02-15_16-25-03_10474.png,1828,1619,171,171,100.00,False
4,7,2026-02-15_16-25-03_10305.png,2026-02-15_16-25-03_10671.png,1828,1612,86,86,100.00,False
4,8,2026-02-15_16-25-03_10305.png,2026-02-15_16-25-03_12035.png,1828,1712,5,5,100.00,False
5,6,2026-02-15_16-25-03_10404.png,2026-02-15_16-25-03_10474.png,1810,1619,452,452,100.00,False
5,7,2026-02-15_16-25-03_10404.png,2026-02-15_16-25-03_10671.png,1810,1612,195,195,100.00,False
5,8,2026-02-15_16-25-03_10404.png,2026-02-15_16-25-03_12035.png,1810,1712,9,9,100.00,False
6,7,2026-02-15_16-25-03_10474.png,2026-02-15_16-25-03_10671.png,1619,1612,296,296,100.00,False
6,8,2026-02-15_16-25-03_10474.png,2026-02-15_16-25-03_12035.png,1619,1712,88,88,100.00,False
7,8,2026-02-15_16-25-03_10671.png,2026-02-15_16-25-03_12035.png,1612,1712,213,213,100.00,False
9,10,2026-02-15_16-35-56_05934.png,2026-02-15_16-35-56_06892.png,1759,1475,260,260,100.00,False
9,11,2026-02-15_16-35-56_05934.png,2026-02-15_16-35-56_07849.png,1759,1713,188,188,100.00,False
9,12,2026-02-15_16-35-56_05934.png,2026-02-15_16-35-56_09763.png,1759,1831,216,216,100.00,False
10,11,2026-02-15_16-35-56_06892.png,2026-02-15_16-35-56_07849.png,1475,1713,347,347,100.00,False
10,12,2026-02-15_16-35-56_06892.png,2026-02-15_16-35-56_09763.png,1475,1831,433,433,100.00,False
11,12,2026-02-15_16-35-56_07849.png,2026-02-15_16-35-56_09763.png,1713,1831,222,222,100.00,False
